02.07.2015                     Dynamic List Display                            1


	BELNR	GJAHR	BSTAT	MONAT	USNAM	XBLNR	BKTXT
	2100000977	 2015	V	    5	HR001		Trainee allowance for Feb
	2100001008	 2015	V	    4	AAOM01	PV201501	Operating cost CF/ Jan 15
	2100001011	 2015	V	    3	AAOM01	PV2015-01	TNC operation / Jan 15
	2100001012	 2015	V	    5	AAOM01	PV201502	Operation Cost CF/Feb2015
	2100001014	 2015	V	    3	AAOM01	PV2015-01	TNC operation / Jan 15
	2100001015	 2015	V	    3	AAOM01	PV2015-01	TNC operation /Dec 14
	2100001016	 2015	V	    5	AAOM01	PV2015-02	Operating cost CF/ Jan 15
	2100001017	 2015	V	    5	AAOM01	PV201502	Operation Cost CF/Feb2015
	2100001018	 2015	V	    5	ACTA02		Telephone charge/Forinfo
	2100001020	 2015	V	    6	ACTA02		Telephone charge/CDTS
	2100001021	 2015	V	    5	ACTA02		Telephone charge/TCPO
	2100001022	 2015	V	    6	ACTA02		Telephone charge/CDTS
	2100001023	 2015	V	    5	ACTA02		Telephone charge/CDTS
	2100001024	 2015	V	    5	ACTA02		Copy charge/CDTS
	2100001025	 2015	V	    4	AAOM01	PV2015-01	SUC operation Jan 15
	2100001026	 2015	V	    6	ACTA02		Telephone charge/PROCO
	2100001027	 2015	V	    4	AAOM01	PV2015-01	SUC operation Jan 15
	2100001028	 2015	V	    4	AAOM01	PV2015-01	SUC operation Jan 15
	2100001029	 2015	V	    5	AAOM01	PV2015-02	SUC operation Feb 15
	2100001030	 2015	V	    5	AAOM01	PV2015-02	SUC operation Feb 15
	2100001031	 2015	V	    4	AAOM01	PV201501	Operation Cost CF/Jan2015
	2100001033	 2015	V	    5	ACTA02		Dormitory Revenue Report
	2100001034	 2015	V	    5	ACTA02		Dormitory Revenue Report
	2100001041	 2015	V	    4	AAOM01	RV201501	Exchange Cash(USD to MMK)
	2100001047	 2015	V	    5	ACTA02		T/F Accommodation
	2100001049	 2015	V	    6	ACTA02		Telephone charge/ExO
	2100001061	 2015	V	    4	ACTA02	RV2015/01/16	FAO,for LOA/RAP/2014/71,2
	2100001063	 2015	V	    3	ACT004	SAP LICENCE FEE	SAP licence fee Jul-Dec14
	2100001064	 2015	V	    3	ACT004	AUDIT FEE/ASS	Audit fee/ASS 2014
	2100001065	 2015	V	    3	ACT004	STAFF TIME/ASS	Staff time charge-ASS
	2100001066	 2015	V	    6	HR001	PV 2015/03/11	Salary - VCP -Mar
	2100001067	 2015	V	    6	HR001	PV 2015/03/11	Bank Charge - VCP Salary
	2100001068	 2015	V	    6	HR001	PV 2015/03/11	Salary - CCP-Mar
	2100001069	 2015	V	    6	HR001	PV 2015/03/11	Bank Charge -CCP
	2100001073	 2015	V	    6	AAOC01		Payment for other expense
	2100001074	 2015	V	    4	ACTA02	RV2015/01/29	Reimbur'st GREEN Mekokng
	2100001075	 2015	V	    5	ACTA02	RV2015/02/18	Reimbur'st GREEN Mekokng
	2100001076	 2015	V	    6	ACTA01	PV2015/03/117	T/F to RCOFTC-PRF
	2100001077	 2015	V	    6	HR001	PV 2015/03/12	Salary - ICP Mar
	2100001078	 2015	V	    6	HR001	PV 2015/03/12-1	Bank Charge - ICP
	2100001111	 2015	V	    3	ACTA02	RV2014/12/09	Wonachareon/Area rental N
	2100001112	 2015	V	    1	ACTA02	RV2015/12/31	The reginal training fee
	2100001113	 2015	V	    3	ACTA02	RV2014/12/17	Over paid OPD Somying
	2100001114	 2015	V	    3	ACTA02	RV2014/12/17	Reimbur'st Ahmad's BKK-Ya
	2100001115	 2015	V	    2	ACTA02	JV2014/11/17	T/F regional training Enh
	2100001116	 2015	V	    3	ACTA02	RV2014/12/17	Final payment LOA/RAP/14/
	2100001117	 2015	V	    3	ACTA02	RV2014/12/17	BnkChg FAO LOA/RAP/14/
	2100001118	 2015	V	    6	ACTA02	PV2015/03/17	Prapai reimbur'st petty C
	2100001119	 2015	V	    6	ACTA02		Dormitory revenue report
	2100001120	 2015	V	    4	ACTA02		Dormitory revenue report
	2100001121	 2015	V	    4	ACTA02		Dormitory revenue report
	2100001122	 2015	V	    4	ACTA02		Dormitory revenue report
	2100001123	 2015	V	    4	ACTA02		Dormitory revenue report
	2100001124	 2015	V	    5	ACTA02		Dormitory revenue report
	2100001125	 2015	V	    5	ACTA02		Dormitory revenue report
	2100001126	 2015	V	    5	ACTA02		Dormitory revenue report
	2100001127	 2015	V	    6	ACTA02		Dormitory revenue report
	2100001129	 2015	V	    6	ACTA02		Accommodation charge T/F
	2100001130	 2015	V	    6	ACTA02		Telephone charge/Finance
	2100001131	 2015	V	    6	ACTA02		Telephone charge/HR&Dorm
	2100001132	 2015	V	    6	ACTA02		Postage charge/ASFN
	2100001133	 2015	V	    6	ACTA02		Postage charge/Finance
	2100001134	 2015	V	    6	ACTA02		Postage charge/Green Meko
	2100001135	 2015	V	    6	ACTA02		Postage charge/Forinfo
	2100001136	 2015	V	    6	ACTA02		Postage charge/ExO
	2100001137	 2015	V	    6	ACTA02		Postage charge/StratCom
	2100001138	 2015	V	    6	AAOV01		Advance received
	2100001139	 2015	V	    6	AAOV01	INVOICE96930035	internal transfer
	2100001140	 2015	V	    6	AAOV01	INVOICE 9693.003	internal transfer
	2100001141	 2015	V	    6	ACTA02		Postage charge/TCP
	2100001142	 2015	V	    6	ACTA02		Postage charge/CS
	2100001144	 2015	V	    6	AAOV01		Payment of salary
	2100001175	 2015	V	    6	AAOV01	INOVICE 9693.005	Social Insurance
	2100001177	 2015	V	    6	AAOV01		Advance received
	2100001179	 2015	V	    6	AAOV01	9693.0075	internal transfer
	2100001182	 2015	V	    2	ACTA02	RV2014/11/16	Dormitory Revenue Report
	2100001183	 2015	V	    6	AAOV01	INVOICE9693.0074	Payment Stipend 1114
	2100001184	 2015	V	    6	AAOV01	INVOICE 9693.007	Social Insurance
	2100001185	 2015	V	    6	HR001	PV 2015/03/19	Salary - CP -Mar
	2100001186	 2015	V	    6	HR001	PV 2015/03/19	Bank Charge - MCP
	2100001187	 2015	V	    6	HR001	PV 2015/03/19-1	Salary - MMT -Mar
	2100001188	 2015	V	    6	HR001	PV 2015/03/19-1	Bank Charge - MMT -Mar
	2100001189	 2015	V	    6	AAOV01		Advance received
	2100001190	 2015	V	    6	AAOV01	INVOICE 96930050	Internal transfer Payroll
	2100001191	 2015	V	    6	AAOV01	INVOICE 020001	Payment of salary
	2100001192	 2015	V	    6	AAOV01	INVOICE 96930060	Social Insurance
	2100001193	 2015	V	    6	AAOV01	INVOICE 96930059	Stipend to Intern
	2100001194	 2015	V	    6	AAOV01	INVOICE 96930061	Social Insurance
	2100001195	 2015	V	    6	AAOV01		Advance received
	2100001196	 2015	V	    6	AAOV01	INOVICE H3750065	Internal transfer Payroll
	2100001197	 2015	V	    6	AAOV01	INVOICE F358	Salary for VCP staff
	2100001198	 2015	V	    6	AAOV01	INOVICE H3750069	Social Insurance
	2100001199	 2015	V	    6	AAOV01	INVOICE H3750068	Stipend to Intern
	2100001200	 2015	V	    6	AAOV01	INVOICE H3750070	Social Insurance
	2100001202	 2015	V	    6	AAOV01	INOVICE H3750066	Severance pay
	2100001203	 2015	V	    6	AAOV01	INVOICE H3750067	Severance pay
	2100001204	 2015	V	    6	AAOV01	INVOICE 96930013	PIT for VCP staff
	2100001206	 2015	V	    6	AAOV01		Advance received
	2100001207	 2015	V	    6	AAOV01	INVOICE H3750064	Internal transfer Payroll
	2100001208	 2015	V	    6	AAOV01	INVOICE 020017	Net salary to VCP staff
	2100001209	 2015	V	    6	AAOV01	INVOICEH375 0116	Social Insurance
